QF2101	%I60.0	 BOOL
2101_Running	%I60.1	 BOOL
BQ1A2101	%I60.2	 BOOL
2101_FW	%Q60.0	 BOOL
2101_BW	%Q60.1	 BOOL
QF2102	%I60.3	 BOOL
2102_Running	%I60.4	 BOOL
BQ1A2102	%I60.5	 BOOL
BQ2A2102	%I60.6	 BOOL
BQ3A2102	%I60.7	 BOOL
2102_FW	%Q60.2	 BOOL
2102_BW	%Q60.3	 BOOL
QF2103	%I61.0	 BOOL
2103_Running	%I61.1	 BOOL
BQ1A2103	%I61.2	 BOOL
2103_FW	%Q60.4	 BOOL
2103_BW	%Q60.5	 BOOL
QF2104	%I61.3	 BOOL
2104_Running	%I61.4	 BOOL
BQ1A2104	%I61.5	 BOOL
BQ2A2104	%I61.6	 BOOL
BQ3A2104	%I61.7	 BOOL
2104_FW	%Q60.6	 BOOL
2104_BW	%Q60.7	 BOOL
QF2105	%I62.0	 BOOL
2105_Running	%I62.1	 BOOL
SQ1A2105	%I62.2	 BOOL
SQ2A2105	%I62.3	 BOOL
2105_FW	%Q61.0	 BOOL
2105_BW	%Q61.1	 BOOL
YV1A2105	%Q61.2	 BOOL
YV2A2105	%Q61.3	 BOOL
QF2106	%I63.0	 BOOL
2106_Running	%I63.1	 BOOL
BQ1A2106	%I63.2	 BOOL
2106_FW	%Q62.0	 BOOL
2106_BW	%Q62.1	 BOOL
QF2107	%I63.3	 BOOL
2107_Running	%I63.4	 BOOL
BQ1A2107	%I63.5	 BOOL
BQ2A2107	%I63.6	 BOOL
BQ3A2107	%I63.7	 BOOL
2107_FW	%Q62.2	 BOOL
2107_BW	%Q62.3	 BOOL
QF2108	%I64.0	 BOOL
2108_Running	%I64.1	 BOOL
BQ1A2108	%I64.2	 BOOL
2108_FW	%Q62.4	 BOOL
2108_BW	%Q62.5	 BOOL
QF2109	%I64.3	 BOOL
2109_Running	%I64.4	 BOOL
BQ1A2109	%I64.5	 BOOL
BQ2A2109	%I64.6	 BOOL
2109_FW	%Q62.6	 BOOL
2109_BW	%Q62.7	 BOOL
QF2110	%I65.0	 BOOL
2110_Running	%I65.1	 BOOL
SQ1A2110	%I65.2	 BOOL
SQ2A2110	%I65.3	 BOOL
2110_FW	%Q63.0	 BOOL
2110_BW	%Q63.1	 BOOL
YV1A2110	%Q63.3	 BOOL
QF2111	%I66.0	 BOOL
2111_Running	%I66.1	 BOOL
BQ1A2111	%I66.2	 BOOL
2111_FW	%Q64.0	 BOOL
2111_BW	%Q64.1	 BOOL
QF2112	%I66.3	 BOOL
2112_Fault	Q64.5	 BOOL
BQ1A2112	%I66.5	 BOOL
2112_FW	%Q64.3	 BOOL
2112_BW	%Q64.4	 BOOL
2112_Reset	%Q64.2	 BOOL
QF2113	%I67.0	 BOOL
2113_Fault	Q65.1	 BOOL
BQ1A2113	%I69.1	 BOOL
SA1A2113	%I67.7	 BOOL
SA2A2113	%I68.0	 BOOL
2113_FW	%Q64.7	 BOOL
2113_BW	%Q65.0	 BOOL
YV1A2113	%Q65.2	 BOOL
YV2A2113	%Q65.3	 BOOL
2113_Reset	%Q64.6	 BOOL
SQ1A2114	%I69.2	 BOOL
SQ2A2114	%I69.3	 BOOL
YV1A2114	%Q65.4	 BOOL
YV2A2114	%Q65.5	 BOOL
QF2115	%I71.1	 BOOL
2115_Running	%I71.2	 BOOL
BQ1A2115	%I71.3	 BOOL
2115_FW	%Q66.0	 BOOL
SQ1A2134	%I70.3	 BOOL
SQ2A2134	%I70.4	 BOOL
YV1A2134	%Q66.1	 BOOL
YV2A2134	%Q66.2	 BOOL
QF2116	%I70.5	 BOOL
2116_Running	%I70.6	 BOOL
SQ1A2116	%I70.7	 BOOL
SQ2A2116	%I71.0	 BOOL
